Comments
"KIB,  itu pasti dukung GP, nyatanya  P3, sdh deklarasi. Dan Golkar dan PAN hanya munggu saatnya yg baik.
KIB, antisipasi trio Jokowi, LBP dan AH, jika PDIP tdk calonkan GP."
"3/4 pasang capres lebih bagus,klu cuma 2 rawan kecurangan"
"PARTAI  PENDUKUNG  JIKA  YANG  PARTAI  PENDUKUNG  YG  KALAH  GK  USAH  DI JADIIN  MENTRI ATW YG LAIN , ENAK  AJA  UDAH  KALAH  GABUNG  KOALISI  HUH  BINGUNG !!!!"
Tinggal PAN dan golkar.. Seeprtinya PAN akan masuk ke ganjar. Tinggal golkar. Golkarbisa  ke ganjar atau ke prabowo
"Ridwan Kamil Presiden, Sandiaga Uno Wakil Presiden.

Saatnya yang MUDA jadi Pemimpin Indonesia.

Yang TUA , mending ISTIRAHAT aja."
"Hati-hati, Jangan Presiden berijazah palsu.                 
Jangan lagi pilih partai wong Licik, kapok.
Tidak dari keluarga PKI.

Cari Presiden Pancasila
1. ngerti agama
2. ber peri kemanusiaan
3. faham Persatuan
4, Junjung musyawarah
5. Punya cita-cita membuat masyarakat adil makmur.

bravo Pribumi"
"Prabowo udah tua, ganjar ngak punya prestasi, anis terbukti"
Capek dikibulin banteng mulu🤣
Fiks saya pilih pak prabowo
Gak mungkin BADUT BERUBAN ini jadi Presiden.
"Seru kalau 4 Capres yang berlaga....
Semakin banyak pilihan, akan semakin terbuka mata Rakyat Indonesia untuk memilih Capres yang berkualitas....
Nggak perlu ada penggiringan ke kata2 boncos deh..., Lebih baik keluar Dana besar yang gak seberapa di awal tapi menghasilkan Pemimpin yang berkualitas dan dapat mensejahterakan Rakyat Indonesia dan disegani oleh Negara luar...."
"Wahai rakyat... Sadarlah...
Milih jangan yang kelihatan merakyat saja apalagi petugas partai..
Masih banyak org2 intelek yg lebih cerdas utk mencerdaskan rakyat dan mensejahterakan rakyatnya.."
"Saya tim ""Jari Putih"", percuma gak ada perubahan sama sekali, dari zaman nahkoda pertama sampai ke 7 indonesia selalu ditekan oleh pihak asing dan gak berani untuk bergerak secara mandiri selalu menjadi negara berkembang, demokrasi sudah mati, hak rakyat diabaikan, para partai hanya mementingkan urusan pribadi, korupsi merajalela, hukuman untuk rakyat atas dan bawah sangat timpang. Pemanfaatan SDA yang di ekploitasi untuk kepentingan suatu pihak, bayar pajak selalu rajin kepada negara tapi justru pajak itu dislewengkan. Ini bukan ajakan, ini hanya opini saya pribadi, saya berusaha berpikir kritis oleh sebab-akibat jangka panjang. Sebelum saya bicara seperti ini saya sudah lakukan riset kepada para capres dan caleg. (Suara adalah HAK bukan KEWAJIBAN)"
"Mak banteng pilih ganjar, 
Pdip partai  anti islam ,pengajian , rasis.,,
Pdip tdk butuh suara umat islam"
Calon lebih dari 2 lebih bagus
Airlangga Hartarto?
Pemimpin muslim dengan ciri Siddiq Tabligh Amanah Fathonah komplit ada pada kepribadian Bapak Anies Rasyid baswedan. Top Markotop.
"Siapa pun calonya asal jangan yg di usung oleh
HTI, PKS, Amin Rais,"
Nunggu info capres lainnya dulu ajalah😌
GOLPUT ajah khan itu bagian dari demokrasi ....!
Saya pilih yang punya gagasan masuk akal aja. Cape soalnya denger janji yang gak masuk akal..
Sapa aja gak masalah asal jangan Anies / ganjar itu aja
Makan ongkos bener 🔪
Mending prabowo sama ganjar
Prabowo 🔥
Yang penting anti PDI
Ganjar pranowo Ri 2024🙏🙏
"Pak Ganjar = gubernur Jateng 2 periode kader PDIP
Pak Prabowo = menteri pertahanan (ketum partai gerindra) 
Pak Anis = mantan gubernur DKI bersama pak sandiaga uno diusung partai gerindra (partainya Pak Prabowo) 
kesimpulan Pak prabowo ketua umum bukan bawahan partai, 
Pak Ganjar & Pak Anis udah jelas lah.."
"Jgn salah pilih lagi, jgn pilih yg cuma pencitraan tapi mimpin daerahnya az ga beres, semoga Pa Anies nanti yg menang"
"Kotak kardus sudah dikunci ma banteng,,triliunan uang sudah disiapkan oleh oligarki dan antek2 nya untuk memuluskan jalan menuju RI 1,,kejadian soal penolakan israel adalah tes ombak buat ganjar,sudah dirancang sedemikian rupa."
Jangan lupakan yg mematikan microfon
Kamu nanya?!yandaktaukoknanyasaya😢😂
Gasss Prabowo
Sya Pilih Ahok
"Saya pilih yang
Asli Yaman
Insyaallah makmur seperti Yaman"
Mau berapa putaran kak
GANJAR SAYA ORANG BERJIWA RAKYAT NKRI(PAPUA BUAT BPK GANYAR) ❤
AKU PILIH YANG ADA DUIT AMA SEMBAKONYA👍👍👍
Kumpulan mnusia yang lbih  mikir partai ktimbng rkyat
Kemungkinan hanya 3Capres
P PRABOWO MENINDAK UPAYA KKN DENGAN BAIK  KITA DUKUNG !!! TTPI JANGAN SALAH PILIH WAPRES !!! Subagyo
Seruuu
"berapa aja capresny
ane tetep pilih Bang Anis"
Gila juga ya.wadu Amit2 deh bas Ns.
sudah kecewa sama piala dunia... lbih baik prabowo dekat dgn jkw jg
Lagi nunggu siapa cawapresnya
Sekali boneka ttp boneka🤪🤪🤪
Pa Prabowo lanjutkan cita citamu untuk menjadi presiden 2024 2029
Go to Anis
Hanya ganjar pilihan ku
PDI hanya butuh KPU dan MK karna melakukan kecurangan😢😢😂😂
Bravo anis
Jokowi menang lagii
Saya prabowo
Byk pilihan bagus biar gk ada yg tuduh2 curang
H. Bolot Sama Malih Yang saya pilih
"Aseeeeekkkkkk .....
Gueh emang GP GASPOL goes to RI-1 MEMIMPIN INDONESIA 🇮🇩 2024-2029 menuju Indonesia Hebat 🇮🇩🥰
SALAM PANCASILA BHINEKA TUNGGAL IKA"
"Kompas no independen n,,..seperti baru lahir"
yg penting bukan Anis & ahy aja 😀
ANIES BASWEDAN UNTUK INDONESIA LEBIH MAKMUR & SEJAHTERA Yes I choose it. Prabowo Nafsu Menggebu Gebu & Masih ada Campur tangan Keluarga Cendana untuk jadi RI 1 yakin dipilih.? Saya hanya ingin Anies 5 tahun dahulu abis itu baru Bowo gpp. 🤔
"bang. serius tanya..
gw bukan pendukung siapa2.
tapi kl boleh tanya
program apa yang sudah di buat oleh pak ganjar selama memimpin bang..
dan terobosan2 apa yang sudah beliau lakukan, kl tau pak prabowo juga bang.
bisa share ke sini ya..
karena gw mau riset pemimpin yang akan gw pilih..
gw ga mau asal pilih seseorang yang tidak memiliki kopetensi memimpin dan memimpin asal2 an.. gw mau indonesia lebih baik."
JANGAN PILIH PARTAI GAGAL !!! Subagyo
"MANTAP
jikalau ada 4 Capres
Setidaknya Ada Persaingan dan Masih Ada Putra Terbaik Bangsa yg Siap Bertarung dalam Pilpres
☕☕☕☕☕
2024 Pemilu dan Pilpres
Dah Hilang Isu Penundaan Pemilu dan 3 Periode"
PDI cukup solo rank
"Intinya jangan terlalu fanatik ya guys ya, kalo kalian suka salah satu capres yasudah itu pilihan masing-masing jangan mempengaruhi orang lain atau menganggu orang lain yang berbeda pendapat. TAKUTNYA nih yaa kalo kalah nanti kecewa dan sakit hati. SOALNYA calon calon tersebut mah gaakan mikirin kalian untuk 1 orang bagi dia karena ya gakenal ""lu siapa"" hehehe"
Emang seharusnya seperti itu biar gk ada perpecahan kayak sekarang
Yang penting bukan petugas partai
"salut sama pak Prabowo, tapi saingannya bakalan makin banyak sih wkwk"
"Gusdur pernah berkata: pak Prabowo adalah orang paling ikhlas melayani rakyat, yang lain nggak tahu"
JOSS GANJAR PRANOWO PRESIDEN KAUM KADRUN KETAKUTAN😅😅😅
abah anies nasabnya pahlawan amanah g suka boong g ngutang.....  smoga jadi ya Allah.  takbir 3x
Aku tebak hanya ada 2 capres yaitu ganjar vs prabowo  soalnya aku ga yakin demokrat mau jadi cawapresnya anis
Ga ada yg berani ngusung pak Mahfud takut kadernya pada ga bisa korupsi 🤣🤣🤣
"Hati2 tahun politik bxk yang ngemis suara datangi rakyat, tpi pas mnjabat didatangi rakyat utk demo pada kbur alasan bxk urusan sono sini, sampai jenguk kuburan lbih penting daripada ketemu rakyat😅😂"
Hidup sujiwo tejo!!!
Prabowo lebih bela rakyat
bapak Jokowi bisa jadi cawapres nggak sih?yg baca bls dong!!! 🙏
Ganjar dan anis cenderung pelawak. Akhir tragis kayak ukraina di pimpin pelawak
Pilih presiden yang mau bikin UU hukum mati koruptor
saya akan pilih pak Prabowo kena SDH 3kali nyapres pantang menyerah yang ke 3 semoga terlaksana jd presiden.Aamiin
Prabowo💪💪💪
"Saya hanya ingin memprediksi. Yg jadi ganjar. Tidak bisa dipungkiri Cebong kampret masih ada. Yg cebong pasti tetap cebong, meskipun sebagian berubah jadi kampret. Tp sbaliknya yg dulu kampret pasti ada yg jadi cebong, dg slah satu alasan merasakan pmbangunan atau apapun itu. Tp suara kampret bakal terpecah ke prabowo atau anis. 
Jd jngan asal ngmong dg mngtasnmakan rakyat muak dg petugas partai atau apapun itu. Lihat realita sja. Kalau mau banteng tidak berkuasa lagi, anis n prabowo harus bersatu. 
Sekali lagi SAYA BUKAN RAKYAT FANATIK. Saya hanya mngamati, tidak condong siapa2."
"UDAH PASANG BALIHO DIMANA-MANA , YANG DICALONIN GANJAR... ""SAKITNYA TUH DISINI!"" 😂😂😂😂"
Klo mau IKN terus berlanjut jangan pilih ANIS BASWEDAN.
"PDI MUNDUR SI ,PERCUMA MAJU ,RAKYAT SUDAH CERDAS!!"
Prabowo udah pasti
Prabowo ganjar sdh ga usah maju sendiri2 ...insyaallah untuk 2periode karna masyarakat ga mau ganti presiden ganti program....
Garing ( Ganjar Giring)
Yg jelas ga bakalan pilih yg diusung siluman banten
Gua dukung pak anis yg setidaknya tidak boong kaek yg udah jdi presiden tukang ngibul. Pk anis jujur dan jakarta bagus ditangannya
Sosoan komentar ini itu yaelahhh 😅
Uban petugas partai...
Yg ada pak mahfud tak pilih.kalo ga ada..golput
Owo sama kawan kawan biasanya yang suka rusuh kalah rusuh kalah rusuh😂
rusak.... rusak.... 😅
Nmor 4 Bung Rocky Gerung 😁
Makin banyak makin bagus... Itu tanda demikrasi hidup....
Siapa pun calon nya tetep milih banteng. Ayo Indonesia berkembang jngn kasih maju
Ganjar pranowo aja deh.
Jawa timur siap dukung Anis Baswedan.❤
"Klo Anis cocol di usung Demokrat dgn PKS  mungkin nyungsef 2024  PKS tetap dukung Anis krn pilkada DKI jual ayat dan mayat , intoleran, rasis."
"Seperti nya capres nya sudah mentok 3, dan yg lain akan merapat ke 3 capres yg ada. Nah di sini kita sudah pastikan kalo capres nya sudah, tinggal cawapres nya."
bismillah ganjar presiden. insyaallah indonesia bergerak lbh maju lg
4 capres gk mungkin
Pak prabowo ok
Prabowo ok
"2024 golput, rakyat sudah bisa melihat drama elit politik, semua hanya haus kekuasaan tidak ada yg peduli dengan rakyat. Waktunya Kerajaan Nusantara Bangkit dari tidurnya."
SEMOGA DAMAI PILPRESNYA... SALAM WARAS...
Hanya org Goblok & Kadrun saja yg mau Pilih ABUNAWAS dri YAMAN.??😂😂😂😂😂😅😅😅😅😅
Prabowo oke
Lawasss dah basi
"Kalo menurut analisa saya secara pribadi CAPRES itu IDEALNYA cukup 3 saja, gak perlu sampai 4, 5 atau 6✔"
Dipikir² mendingan pilih pak Anies Daripada Si uban pecandu film porno cuma cebong aj yg mau milih 🤣
ttp pk ganjar..petugas partai untuk rakyat jos auto coblos..
"Sepertinya semua capres berijazah asyli, ga kaya si nganu"
Semakin banyak semakin memuluskan langkah anies
Thn ini thn nya pak prabowo yg lain ngantri
Prabowo pilihanku
Bukan dari petugas partai...👍👍👍
Gak masalah biaya habis banyak inikan pesta rakyat dan ungny dari rakyat juga.
Saya juga Prabowo yg lain minggir
Asal jangan minotour aja😅
Tetap Anis
Semoga saya terpilih di pilpres nanti amin.
DimedsosBenarkah ygbaik kalo4capres. LBH baik
Sama masih bingung anatara ganjar atau prabowo😢
hanya Ganjar Pranowo yg bisa dipercaya.❤❤❤
"Jateng aja tambah miskin di pegang ganjar wkwk, yg begitu mau mimpin indonesia , mana cuman bonekanya mega wkwk waduuuh kacawww"
ANIES   ❤
"pokoknya pilih cpa aja boleh

 asal jangan banteng merah...."
"Gak Ada Yg Minat ... Semua Cuma Akan Memperkaya Diri Sendiri + Kelompoknya Saja , preeett aaghh !"
aku pilih pribumi
Mmmm....kalau aku sih lihat saja nanti😊 yg jelas bukan antitesa sblmnya😊
Ttp pk anislah...wlo mau brp aja calonya..
"Kita tunggu saja berapa capresnya, semoga saja lebih banyak capresnya supaya rakyat banyak pilihan."
Yg penting jeluargaku jgn sampai pilih moncong putih
Aku pilih p anis
semakin banyak semakin bagus
pak prabowo!
"Nonton Bareng Video Porno di NKRI & semoga kasus E KTP bisa terselesaikan dengan baik, dulu ada partai wong cilik sekarang ada partai wong licik. Salam akal sehat selalu"
"Babi pun yg dicalonkan pasti menang sebab yg menghitung suaranya babi juga yg terpenting siapa yg menyelenggarakan lilpres itu, semoga pki dan ijasah palsu lenyap selamanya dari muka bumi nkri"
Yg pantas jadi presiden gua
Gw gak bakalan milih capres dari DEMOKRAT.
"PILIH PRESIDEN YG MERAKYAT, ...JNGAN YG PINTAR NGOMONG MANIS TPI LELET ,NTAR DI GERTAK SAMA MAFIA² BESAR ..."
"hati2 klo ada orang kok pinginnya mati²an jdi pejabat, ada apa di balik itu...."
JATIM DUKUNG ANIES BASWEDAN RI 1 🇮🇩🇮🇩
PPP KLO gabung dgn pdi susah saya peribadi keluar dari ppp
Yes golput lagi....
Seruuuuu😅
Anies calon paling oke❤
Lebih banyak capres lebih baik dan lebih demokrasi
"Makin banyak, capres, GANJAR MAKIN KUAT❤❤😂😂😂"
"Ane lihat only 3...
Ini lebih wow layaknya Jakarta, yg 3 Paslon..
Partai yg diakhir.. mereka akan melebur atau menunggu, sepertinya enak bermain dibelakang layar.."
coba pak gajar tidak di partai pdi.. saya suka sekali. tapi sayang. mending perubahaan di percayakaan ke pak prabowo
Anies Kalo Mau Menang Bawa Ahok Jadi Wakilnya.. Yakin 1000% Menang 👌 pokoknya Yg Gaet Ahok Jadi Wakil Pasti Menang.. Liat Saja Nanti 👌
Pak anis sangat cocok jadi presiden karena pak anis bukan sosok pemimpin yang sombong.
Yg pnting ttp No banteng🗿 ᭄
anis pendukung ny cuma jakarta wkwk
"Mau seribu capres
Rakyat tetap pilih Anis presiden"
Bebas Capresnya lebih dari dua yg penting memenuhi persyaratan ya lolos Seleksi kan kita negara Demokrasi Pancasila .Selamat Jadi presiden Yg penting Anti Korupsi dan Mengamalkan Ajaran Pancasila secara nyata sesuai Sila2nya Merdeka Amiiin
berani ngk pada bertarung dgn 4 capres ....kalau pd berani itu hebat ....biaya ngk usah pikirin
"Gw pilih Ganjar, yang beda pilihan gpp, yg penting Indonesia damai dalam berpolitik😊"
Baguslah jangan sampai dua
Capres dari Peak 212 siapa ya?
Pilih zeus aja dah
"#PRABOWOPRESIDEN 2024S2029INDONESIARAYA
#PRABOWOMAHFUD"
go airlangga hertanto
Bakso solo dukung prabowo ogah petUgas partai
Anis sudah terbukti cerdas dan bijak memimpin DKI
gw golput
#anisbaswedanpresidenku2024
Gk usah si moncong moncong itu lagi
Insyaallah Tahun ini milik pak Anies
"Dari militer sudah, sipil sudah, sekarang saatnya dari rektor yg memimpin Indonesia."
pak Anis aja saya mah titik.
"Gx bakalannnnn.guaaaaa coblossss ...percumaaaaas
😅😅"
pak ganjar udah bikin sakit hati anak bangsa..uda mengubur haraoan anak bangsa.
"Terserah yang menang siapapun boleh, asal jangan ada 2 paslon, mending 4 atau boleh 5"
Di timor leste 9 capres nya 😂
"Genjer presiden YouTube medsos....
PPP Luarnya hijau dalam nya merah....

Pilih capres yg bukan dari PDIP AKU PILIH"
Mau 10 capres juga bodo amat habisin aja tuh duit pajak rakyat kecil buat pesta...habisiiiiiiiiiiinnnnnn NKRI dah milik para partai....
Dlm ilmu perdukunan . presiden yg terpilih adl P. Prabawa. Dan P. Prabawa rujuk kembali bersama Bu Titik.
"SIAPAPUN PRESIDEN NANTI, YANG PENTING JANGAN DARI pedeipeh, BISA HANCUR NEGARA INI KALO CALON NYA CUMA BONEKA EMAK.."
Kok 4 sih..yang jelasjelas kan 3
Presiden Palestina?
Aku pilih Mahfud ahok
Jangan pilih yg ada banteng nya😂
Pak Prabowo Subianto presiden kita nanti 👍🎉😊
Tetap Pak Anis B. Biar baru semuanya. PPP dan PKB arus bawah past nya ke Pak Anis B.
"®Mantap&Sukses
#Fokernya
@TheBest
💪💪❤💚💙💛💜👌"
"SENGAJA DIBUAT 1 VS 3....MAU MEMECAH SUARA....JELAS SUARA KOALISI KERBAU TETAP BERSATU, SISANYA HANYA UMPAN BUAT MECAH SUARA ANIS.............POLITIK KELAS DENGKUL, MUDAH BANGET KEBACA"
Wah asikni bisa dapet 4 amplop😂
Jangan tertipu isu 4 calon  pki mengingingkan2 calon karna PKI ingin umat islam berperang   saudara maka mau di jadikan 2 calon
Ya yang bakal kepilih cuman antara ganjar sama prabowo
"Heran ya
Kok ganjar, , ,rmang gk ada gt yg lbh , , , 
Ganjar jd gubernur aza aq gk tau prestasinya apa, bgm lw jd presiden ya
Au ach lap"
pak prabowo gandeng NU...dh gak ada tandingan
prabowo dong....
Pengen dukung Ganjar cuma ngeri masih ada si emak 😱
ganjar kyaknya g bkln jadi krena yg pilh cmn RT nya sendiri
Pintr juga si banteng. Kagak jadi nyalonin  anak Nye😂
"Dirasa"" kok belum ada yg cocok ya.. 😂"
"jangn sampai ganjar di menangkan lgi atau di sogok lgi dr pdip jelas jelas dia petugas partai tdk utk rakyat tp utk partai. rekam jejak ganjar sudah tercoreng akibat pildun gagal karna dia,jd sy menyatakan sikap prbowo lah yg menang di pilpres nanti"
"Baguuss, jadi banyak opsi dan banyak uang beredar dimasyarakat hahaha"
Tidak berubah. Tetap prabowo.
Aq pilih pak prabowo
Ganjar - Ahok
Hidupp Ridwan Kamil 2024🎉🎉🎉🎉🎉
semoga tidak ada kecurangan di pilpres 2024..
"Kalo kang emil ikut jdi capres, saya sih bakalan pilih kang emil buat jdi presiden Indonesia"
"Saya sekeluarga pilih yg bisa ngemong hati rakyat, alias bijaksana. JUJUR belum tentu bijaksana, tapi orang bijaksana pasti JUJUR.sing penting ora Ganjar..!"
"Kasih kesempatan buat yg baru,
Yg sdh lanjut usia lebih baik jd penasehat aja"
"Pilih Pemimpin ( Presiden ); yg Amanah, Bela Rakyat ( bkn Asing ) apalagi Aseng, terbukti krj nyata bkn cuma bicara dan memenuhi janji.."
PRABOWO
Anies pilihan bangsa rakyat Indonesia
Memang klo 4 capres bisa memenuhi presidential threshold?
pilih capres yg pandai bekerja bukan bernata kata
Dlm hati sya knpa srek sma Anies Baswedan aja ya. Dulu sma Prabowo. Siapapun yg jdi presiden bisa membawa Indonesia lebih baik dan maju.
Coblos yg bukan petugas partai 😂😂😂
Prabowo presiden 2024
"kuwalisi tidak perlu yg penting rakyat pilih sesuai kata hatinya, dan kerjanya untuk rakyat, dan NKRI"
"semua yg dicalonin partai ya namanya petugas partai, kebijakan2nya tegantung partai pengusung😂"
pk Ganjar
Mahfud MD presiden bjp wakilnya
Kadrun pilih siapa?
Asal jangan petugas partai
